TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
CHA,CHA @ CHI,12/06/2023,L,240,100,39,90,43.3,10,37,27.0,12,12,100,12,30,42,25,9,9,17,24,-11
CHI,CHI vs. CHA,12/06/2023,W,240,111,38,90,42.2,12,25,48.0,23,29,79.3,21,36,57,23,6,6,16,16,11
WAS,WAS vs. PHI,12/06/2023,L,240,126,52,92,56.5,14,35,40.0,8,8,100,2,30,32,39,8,6,11,22,-5
PHI,PHI @ WAS,12/06/2023,W,240,131,47,92,51.1,8,27,29.6,29,34,85.3,11,32,43,29,7,2,11,14,5
LAC,LAC vs. DEN,12/06/2023,W,240,111,40,87,46.0,12,27,44.4,19,25,76.0,13,38,51,21,7,9,11,14,9
DEN,DEN @ LAC,12/06/2023,L,240,102,41,98,41.8,12,31,38.7,8,9,88.9,14,32,46,29,7,5,11,20,-9
GSW,GSW vs. POR,12/06/2023,W,240,110,36,86,41.9,10,34,29.4,28,33,84.8,15,35,50,20,4,3,17,19,4
POR,POR @ GSW,12/06/2023,L,240,106,39,95,41.1,16,46,34.8,12,16,75.0,11,29,40,22,8,3,10,30,-4
PHX,PHX @ LAL,12/05/2023,L,240,103,37,75,49.3,12,25,48.0,17,21,81.0,8,36,44,25,8,5,22,21,-3
MIL,MIL vs. NYK,12/05/2023,W,240,146,55,91,60.4,23,38,60.5,13,19,68.4,12,25,37,32,12,6,12,23,24
NYK,NYK @ MIL,12/05/2023,L,240,122,43,87,49.4,7,23,30.4,29,33,87.9,12,24,36,27,8,4,17,17,-24
LAL,LAL vs. PHX,12/05/2023,W,240,106,38,102,37.3,9,30,30.0,21,25,84.0,21,24,45,24,11,2,10,19,3
NOP,NOP @ SAC,12/04/2023,W,240,127,47,87,54.0,14,31,45.2,19,23,82.6,13,29,42,29,12,7,14,22,10
SAC,SAC vs. NOP,12/04/2023,L,240,117,38,85,44.7,14,41,34.1,27,33,81.8,11,27,38,29,8,2,14,18,-10
IND,IND vs. BOS,12/04/2023,W,240,122,43,94,45.7,19,40,47.5,17,21,81.0,7,34,41,28,8,4,6,15,10
BOS,BOS @ IND,12/04/2023,L,240,112,46,97,47.4,12,41,29.3,8,12,66.7,13,43,56,27,5,9,18,19,-10
CLE,CLE @ DET,12/02/2023,W,240,110,44,89,49.4,10,30,33.3,12,18,66.7,8,35,43,25,11,1,11,18,9
LAC,LAC vs. GSW,12/02/2023,W,240,113,44,90,48.9,13,39,33.3,12,14,85.7,5,35,40,31,5,6,11,21,1
GSW,GSW @ LAC,12/02/2023,L,240,112,38,86,44.2,17,43,39.5,19,24,79.2,6,36,42,31,5,4,15,15,-1
MIN,MIN @ CHA,12/02/2023,W,240,123,43,84,51.2,11,31,35.5,26,30,86.7,10,31,41,26,5,3,11,16,6
CHA,CHA vs. MIN,12/02/2023,L,240,117,44,91,48.4,12,25,48.0,17,19,89.5,10,26,36,29,6,4,8,22,-6
DET,DET vs. CLE,12/02/2023,L,240,101,39,83,47.0,8,30,26.7,15,23,65.2,10,39,49,24,9,3,16,20,-9
MIL,MIL vs. ATL,12/02/2023,W,240,132,53,89,59.6,14,33,42.4,12,15,80.0,8,36,44,33,5,6,16,19,11
ATL,ATL @ MIL,12/02/2023,L,240,121,45,101,44.6,15,38,39.5,16,21,76.2,15,25,40,23,11,4,11,14,-11
MIA,MIA vs. IND,12/02/2023,L,240,129,48,89,53.9,12,25,48.0,21,24,87.5,6,22,28,27,3,1,12,22,-15
IND,IND @ MIA,12/02/2023,W,240,144,56,85,65.9,16,32,50.0,16,20,80.0,3,29,32,35,4,8,10,24,15
DAL,DAL vs. OKC,12/02/2023,L,240,120,39,87,44.8,19,52,36.5,23,35,65.7,15,32,47,26,5,12,16,21,-6
OKC,OKC @ DAL,12/02/2023,W,240,126,44,100,44.0,20,44,45.5,18,22,81.8,16,34,50,24,8,5,13,24,6
PHX,PHX vs. MEM,12/02/2023,W,240,116,36,83,43.4,9,26,34.6,35,43,81.4,12,32,44,24,10,5,17,21,7
MEM,MEM @ PHX,12/02/2023,L,240,109,39,86,45.3,9,31,29.0,22,24,91.7,8,32,40,14,9,8,17,31,-7
UTA,UTA vs. POR,12/02/2023,W,265,118,46,94,48.9,7,34,20.6,19,24,79.2,16,40,56,27,5,11,18,21,5
POR,POR @ UTA,12/02/2023,L,265,113,38,95,40.0,13,40,32.5,24,27,88.9,11,29,40,17,11,5,11,20,-5
